state,statename,paradisescore,pubcnt,prvcnt,avestratio,studentteacherscore,prvschoolscore,publicschoolscore,violentcomprat,propcomprat,violentscore,propcrimescore,sumcum,maxcum,mincum,mortalityscore,evtsum,injsum,fatsum,evtscore,injscore,fatscore,normalizededucation,normalizedhealth,normalizedweather,normalizedcrime,field3,field281,normalizedrent
AL,Alabama,0,0,0,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7735,-0.6965,-0.5106,-0.2335,Alabama,218421.0,-0.9560290937317136
AK,Alaska,0,0,0,19.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2989,1.4055,0.695,-0.7193,Alaska,339201.0,-0.1679440963551176
AZ,Arizona,0,0,0,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9174,0.9976,-0.2695,-0.9309,Arizona,419675.0,0.3571457536108055
AR,Arkansas,0,0,0,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6285,-1.632,0.695,-0.1441,Arkansas,190569.0,-1.137762355421836
CA,California,0,0,0,20.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4963,1.7868,-2.9217,-0.6149,California,760644.0,2.581955767441742
CO,Colorado,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8229,0.5074,-0.5106,-0.1493,Colorado,571262.0,1.346245277516469
CT,Connecticut,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0233,0.6408,0.2127,0.4957,Connecticut,360950.0,-0.02603268214793439
DE,Delaware,0,0,0,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4065,0.2057,2.3827,-0.4015,Delaware,365170.0,0.001502660532387148
DC,District of Columbia,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0479,2.4854,1.9005,-4.1442,District of Columbia,667931.0,1.977006898740167
FL,Florida,0,0,0,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1353,0.854,-0.5106,-1.3881,Florida,404939.0,0.2609939029621756
GA,Georgia,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2256,0.6599,0.2127,-0.414,Georgia,324799.0,-0.2619166094551154
HI,Hawaii,0,0,0,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488,0.218,1.9005,-0.1981,Hawaii,902175.0,3.505440266230507
ID,Idaho,0,0,0,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0819,-0.0932,-0.7517,0.9523,Idaho,459947.0,0.619919052288983
IL,Illinois,0,0,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.5101,-0.7517,-0.4166,Illinois,264622.0,-0.6545692910839565
IN,Indiana,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5844,-1.5524,-0.2695,0.2947,Indiana,228175.0,-0.8923846073563922
IA,Iowa,0,0,0,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0416,-0.4976,0.4539,0.7313,Iowa,200833.0,-1.070790138059082
KS,Kansas,0,0,0,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4682,-0.9743,0.695,-0.0354,Kansas,215770.0,-0.9733267699036408
KY,Kentucky,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.679,-1.4366,-0.0284,0.9654,Kentucky,207599.0,-1.026642240292481
LA,Louisiana,0,0,0,17.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1518,-1.551,-0.5106,-1.1039,Louisiana,217333.0,-0.963128253171569
